08-05-2020 00:11:10.0963|INFO |notifyObservers
08-05-2020 00:11:10.0964|INFO |notifyObservers
08-05-2020 00:11:10.0964|INFO |notifyObservers
08-05-2020 00:11:10.0964|INFO |notifyObservers
08-05-2020 00:11:10.0965|INFO |notifyObservers
08-05-2020 00:11:10.0965|INFO |notifyObservers
08-05-2020 00:11:10.0966|INFO |notifyObservers
08-05-2020 00:11:10.0966|INFO |notifyObservers
08-05-2020 00:11:10.0967|INFO |notifyObservers
08-05-2020 00:11:10.0967|INFO |notifyObservers
08-05-2020 00:11:10.0968|INFO |notifyObservers
08-05-2020 00:11:10.0968|INFO |notifyObservers
08-05-2020 00:11:10.0969|INFO |notifyObservers
08-05-2020 00:11:10.0969|INFO |notifyObservers
08-05-2020 00:11:10.0970|INFO |notifyObservers
08-05-2020 00:11:10.0970|INFO |notifyObservers
08-05-2020 00:11:10.0971|INFO |notifyObservers
08-05-2020 00:11:10.0971|INFO |notifyObservers
08-05-2020 00:11:10.0971|INFO |notifyObservers
08-05-2020 00:11:10.0972|INFO |notifyObservers
08-05-2020 00:11:10.0972|INFO |notifyObservers
08-05-2020 00:11:10.0973|INFO |notifyObservers
08-05-2020 00:11:10.0973|INFO |notifyObservers
08-05-2020 00:11:10.0974|INFO |notifyObservers
08-05-2020 00:11:10.0974|INFO |notifyObservers
08-05-2020 00:11:10.0974|INFO |notifyObservers
08-05-2020 00:11:10.0975|INFO |notifyObservers
08-05-2020 00:11:10.0975|INFO |notifyObservers
08-05-2020 00:11:10.0976|INFO |notifyObservers
08-05-2020 00:11:10.0976|INFO |notifyObservers
08-05-2020 00:11:10.0979|INFO |notifyObservers
08-05-2020 00:11:10.0979|INFO |notifyObservers
08-05-2020 00:11:10.0980|INFO |notifyObservers
08-05-2020 00:11:10.0980|INFO |notifyObservers
08-05-2020 00:11:10.0980|INFO |notifyObservers
08-05-2020 00:11:10.0981|INFO |notifyObservers
08-05-2020 00:11:10.0981|INFO |notifyObservers
08-05-2020 00:11:10.0981|INFO |notifyObservers
08-05-2020 00:11:10.0982|INFO |notifyObservers
08-05-2020 00:11:10.0982|INFO |notifyObservers
08-05-2020 00:11:10.0982|INFO |notifyObservers
08-05-2020 00:11:10.0983|INFO |notifyObservers
08-05-2020 00:11:10.0983|INFO |notifyObservers
08-05-2020 00:11:10.0984|INFO |notifyObservers
08-05-2020 00:11:10.0984|INFO |notifyObservers
08-05-2020 00:11:10.0984|INFO |notifyObservers
08-05-2020 00:11:10.0985|INFO |notifyObservers
08-05-2020 00:11:10.0985|INFO |notifyObservers
08-05-2020 00:11:10.0985|INFO |notifyObservers
08-05-2020 00:11:10.0986|INFO |notifyObservers
08-05-2020 00:11:10.0986|INFO |notifyObservers
08-05-2020 00:11:10.0987|INFO |notifyObservers
08-05-2020 00:11:10.0987|INFO |notifyObservers
08-05-2020 00:11:10.0988|INFO |notifyObservers
08-05-2020 00:11:10.0988|INFO |notifyObservers
08-05-2020 00:11:10.0989|INFO |notifyObservers
08-05-2020 00:11:10.0989|INFO |notifyObservers
08-05-2020 00:11:10.0990|INFO |notifyObservers
08-05-2020 00:11:10.0990|INFO |notifyObservers
08-05-2020 00:11:10.0990|INFO |notifyObservers
08-05-2020 00:11:10.0991|INFO |notifyObservers
08-05-2020 00:11:10.0991|INFO |notifyObservers
08-05-2020 00:11:10.0991|INFO |notifyObservers
08-05-2020 00:11:10.0992|INFO |notifyObservers
08-05-2020 00:11:10.0992|INFO |notifyObservers
08-05-2020 00:11:10.0993|INFO |notifyObservers
08-05-2020 00:11:10.0993|INFO |notifyObservers
08-05-2020 00:11:10.0994|INFO |notifyObservers
08-05-2020 00:11:10.0994|INFO |notifyObservers
08-05-2020 00:11:10.0994|INFO |notifyObservers
08-05-2020 00:11:10.0995|INFO |notifyObservers
08-05-2020 00:11:10.0995|INFO |notifyObservers
08-05-2020 00:11:10.0996|INFO |notifyObservers
08-05-2020 00:11:10.0996|INFO |notifyObservers
08-05-2020 00:11:10.0997|INFO |notifyObservers
08-05-2020 00:11:10.0997|INFO |notifyObservers
08-05-2020 00:11:10.0998|INFO |notifyObservers
08-05-2020 00:11:10.0998|INFO |notifyObservers
08-05-2020 00:11:10.0998|INFO |notifyObservers
08-05-2020 00:11:11.0001|INFO |notifyObservers
08-05-2020 00:11:11.0001|INFO |notifyObservers
08-05-2020 00:11:11.0002|INFO |notifyObservers
08-05-2020 00:11:11.0002|INFO |notifyObservers
08-05-2020 00:11:11.0003|INFO |notifyObservers
08-05-2020 00:11:11.0003|INFO |notifyObservers
08-05-2020 00:11:11.0004|INFO |notifyObservers
08-05-2020 00:11:11.0004|INFO |notifyObservers
08-05-2020 00:11:11.0004|INFO |notifyObservers
08-05-2020 00:11:11.0005|INFO |notifyObservers
08-05-2020 00:11:11.0005|INFO |notifyObservers
08-05-2020 00:11:11.0006|INFO |notifyObservers
08-05-2020 00:11:11.0006|INFO |notifyObservers
08-05-2020 00:11:11.0007|INFO |notifyObservers
08-05-2020 00:11:11.0007|INFO |notifyObservers
08-05-2020 00:11:11.0008|INFO |notifyObservers
08-05-2020 00:11:11.0008|INFO |notifyObservers
08-05-2020 00:11:11.0008|INFO |notifyObservers
08-05-2020 00:11:11.0009|INFO |notifyObservers
08-05-2020 00:11:11.0009|INFO |notifyObservers
08-05-2020 00:11:11.0009|INFO |notifyObservers
08-05-2020 00:11:11.0009|INFO |notifyObservers
08-05-2020 00:11:11.0010|INFO |notifyObservers
08-05-2020 00:11:11.0011|INFO |notifyObservers
08-05-2020 00:11:11.0012|INFO |notifyObservers
08-05-2020 00:11:11.0012|INFO |notifyObservers
08-05-2020 00:11:11.0012|INFO |notifyObservers
